sub-region-code ,region,metaRegion
14,East Africa,Sub-Saharan Africa
17,Middle Africa,Sub-Saharan Africa
15,Northern Africa,Middle East/North Africa
18,Southern Africa,Sub-Saharan Africa
11,Western Africa,Sub-Saharan Africa
29,Caribbean,Latin America
13,Central America,Latin America
5,South America,Latin America
21,North America,North America
143,Central Asia,Central and East Asia
30,Eastern Asia,Central and East Asia
34,Southern Asia,South Asia
35,South-Eastern Asia,Southeast Asia
145,Western Asia,Middle East/North Africa
151,Eastern Europe,Europe
154,Northern Europe,Europe
39,Southern Europe,Europe
155,Western Europe,Europe
53,Australia and New Zealand,Oceania
54,Melanesia,Oceania
57,Micronesia,Oceania
61,Polynesia,Oceania
