estimate,stderr,dof,t,p,min90,max90,x,interact,model
.01688027,.06378112,147,.26465928,.79164267,-.0886957,.12245623,0,0,"NonAgrGDPgrowthCap"
-.19537748,.29189443,147,-.66934298,.50432664,-.67854608,.28779111,0,1,"NonAgrGDPgrowthCap"
.02224417,.05871373,147,.37885796,.70533999,-.07494382,.11943215,1,0,"NonAgrGDPgrowthCap"
-.16828431,.2674879,147,-.62912868,.53024128,-.61105314,.27448452,1,1,"NonAgrGDPgrowthCap"
.02702222,.05389877,147,.50135135,.61687385,-.06219562,.11624006,2,0,"NonAgrGDPgrowthCap"
-.14272863,.24419358,147,-.58448968,.55978687,-.54693871,.26148145,2,1,"NonAgrGDPgrowthCap"
.03121443,.04932078,147,.63288595,.52779142,-.05042554,.11285439,3,0,"NonAgrGDPgrowthCap"
-.11871044,.22201182,147,-.53470326,.59366291,-.48620338,.24878249,3,1,"NonAgrGDPgrowthCap"
.03482079,.04496302,147,.77443161,.43991941,-.03960585,.10924742,4,0,"NonAgrGDPgrowthCap"
-.09622975,.20094307,147,-.47889064,.632728,-.42884789,.23638838,4,1,"NonAgrGDPgrowthCap"
.0378413,.04080767,147,.92730848,.35528642,-.02970705,.10538965,5,0,"NonAgrGDPgrowthCap"
-.07528656,.18098791,147,-.41597561,.6780345,-.37487321,.2243001,5,1,"NonAgrGDPgrowthCap"
.04027597,.03683617,147,1.0933811,.27601501,-.0206984,.10125034,6,0,"NonAgrGDPgrowthCap"
-.05588086,.16214714,147,-.34463055,.73086469,-.32428065,.21251894,6,1,"NonAgrGDPgrowthCap"
.04212479,.03302985,147,1.275355,.20419545,-.01254905,.09679863,7,0,"NonAgrGDPgrowthCap"
-.03801265,.14442178,147,-.26320581,.79276052,-.27707192,.20104662,7,1,"NonAgrGDPgrowthCap"
.04338777,.02937104,147,1.4772297,.14175329,-.00522968,.09200522,8,0,"NonAgrGDPgrowthCap"
-.02168194,.12781323,147,-.16963767,.86552832,-.23324932,.18988544,8,1,"NonAgrGDPgrowthCap"
.0440649,.02584474,147,1.704985,.09030963,.00128447,.08684532,9,0,"NonAgrGDPgrowthCap"
-.00688872,.11232339,147,-.06132936,.95118021,-.192816,.17903855,9,1,"NonAgrGDPgrowthCap"
.04415618,.02244189,147,1.9675785,.05099864,.00700845,.08130391,10,0,"NonAgrGDPgrowthCap"
.006367,.09795487,147,.06499933,.94826285,-.15577626,.16851026,10,1,"NonAgrGDPgrowthCap"
.04366162,.01916534,147,2.2781553,.02415867,.01193751,.07538572,11,0,"NonAgrGDPgrowthCap"
.01808523,.08471127,147,.21349257,.8312386,-.12213611,.15830657,11,1,"NonAgrGDPgrowthCap"
.04258121,.01604231,147,2.6543068,.00882234,.01602661,.06913581,12,0,"NonAgrGDPgrowthCap"
.02826596,.0725977,147,.38935066,.69758023,-.09190395,.14843587,12,1,"NonAgrGDPgrowthCap"
