estimate,stderr,dof,t,p,min90,max90,x,interact
-.04986414,.04288773,165,-1.1626668,.24664353,-.12080649,.02107821,0,0
-.00792249,.03978713,165,-.19912186,.84241258,-.07373601,.05789104,0,1
-.0348994,.03997926,165,-.87293753,.38396572,-.10103073,.03123194,1,0
.00327391,.03704971,165,.08836523,.92969355,-.05801153,.06455934,1,1
-.02102598,.03728548,165,-.56391887,.57357502,-.08270142,.04064945,2,0
.01353128,.03452311,165,.39194847,.69560206,-.04357481,.07063738,2,1
-.0082439,.03479279,165,-.23694285,.81299504,-.06579608,.04930827,3,0
.02284964,.03219507,165,.70972471,.47887663,-.03040555,.07610483,3,1
.00344685,.03248524,165,.10610513,.91562783,-.05028832,.05718202,4,0
.03122898,.03005087,165,1.0392037,.30023045,-.0184794,.08093736,4,1
.01404627,.03034458,165,.46289231,.64405147,-.03614794,.06424049,5,0
.0386693,.02807335,165,1.3774379,.17024247,-.00776798,.08510658,5,1
.02355437,.02835043,165,.83082925,.40727071,-.02334124,.07044997,6,0
.0451706,.02624303,165,1.7212417,.0870813,.00176093,.08858028,6,1
.03197113,.02648062,165,1.2073408,.22902879,-.01183154,.0757738,7,0
.05073289,.02453843,165,2.0674868,.04024963,.01014286,.09132291,7,1
.03929656,.02471168,165,1.5902023,.1137034,-.00158003,.08017316,8,0
.05535615,.02293653,165,2.4134492,.01689726,.0174159,.09329641,8,1
.04553067,.02301945,165,1.9779213,.04960272,.00745325,.08360809,9,0
.0590404,.02141337,165,2.7571747,.00648736,.02361967,.09446113,9,1
.05067344,.02137983,165,2.370152,.01893574,.01530819,.08603869,10,0
.06178563,.01994477,165,3.0978364,.00229179,.02879417,.09477709,10,1
.05472488,.01976951,165,2.7681462,.00628244,.02202333,.08742643,11,0
.06359185,.0185071,165,3.436078,.00074678,.03297849,.0942052,11,1
.057685,.01816693,165,3.1752741,.00178655,.02763433,.08773567,12,0
.06445904,.01707813,165,3.7743628,.00022343,.03620941,.09270867,12,1
.05955378,.01655339,165,3.5976779,.00042402,.03217213,.08693543,13,0
.06438722,.01563791,165,4.1173793,.00006044,.03851991,.09025453,13,1
.06033123,.01491452,165,4.0451341,.00008015,.03566052,.08500195,14,0
.06337637,.01417002,165,4.4725689,.00001433,.03993717,.08681558,14,1
.06001736,.01324278,165,4.5320801,.00001117,.03811193,.08192279,15,0
.06142652,.01266322,165,4.8507819,2.827e-06,.04047977,.08237327,15,1
.05861215,.01154218,165,5.0780835,1.021e-06,.03951976,.07770455,16,0
.05853764,.01111468,165,5.2666976,4.283e-07,.0401524,.07692288,16,1
.05611562,.00983812,165,5.703897,5.294e-08,.03984198,.07238925,17,0
.05470974,.00953642,165,5.7369245,4.501e-08,.03893515,.07048433,17,1
.05252775,.00819984,165,6.4059468,1.497e-09,.03896406,.06609145,18,0
.04994283,.00797028,165,6.2661334,3.103e-09,.03675886,.06312679,18,1
.04784856,.00679018,165,7.0467247,4.740e-11,.03661664,.05908048,19,0
.0442369,.00652357,165,6.7810876,2.025e-10,.03344599,.0550278,19,1
.04207803,.00594193,165,7.0815472,3.910e-11,.03224925,.05190682,20,0
.03759195,.00544446,165,6.904625,1.034e-10,.02858604,.04659785,20,1
.03521618,.00609258,165,5.7801721,3.637e-08,.02513819,.04529417,21,0
.03000798,.00516852,165,5.8059106,3.202e-08,.02145851,.03855744,21,1
.02726299,.00736209,165,3.7031568,.00029004,.01508505,.03944093,22,0
.02148499,.00600275,165,3.579189,.00045283,.01155559,.03141439,22,1
.01821848,.00946445,165,1.9249371,.05595746,.00256294,.03387402,23,0
.01202299,.00775828,165,1.5496973,.12313011,-.0008103,.02485628,23,1
.00808263,.0121097,165,.66745128,.50541634,-.01194851,.02811378,24,0
.00162197,.01010478,165,.16051476,.87267194,-.01509277,.0183367,24,1
-.00314454,.01513863,165,-.20771643,.83570654,-.02818597,.02189689,25,0
-.00971807,.01284633,165,-.7564861,.45043657,-.03096772,.01153157,25,1
-.01546305,.01847482,165,-.83697939,.40381475,-.04602301,.01509692,26,0
-.02199713,.01589129,165,-1.3842256,.16815869,-.04828357,.0042893,26,1
-.02887288,.02208128,165,-1.3075726,.19283731,-.06539843,.00765267,27,0
-.03521521,.01919706,165,-1.8344067,.06839475,-.06696985,-.00346057,27,1
-.04337404,.02593949,165,-1.6721238,.09639515,-.08628163,-.00046646,28,0
-.0493723,.02274301,165,-2.1708777,.03136933,-.08699245,-.01175215,28,1
-.05896654,.03004,165,-1.962934,.05133509,-.10865693,-.00927614,29,0
-.06446841,.02651886,165,-2.4310401,.01612622,-.10833435,-.02060248,29,1
-.07565036,.03437801,165,-2.2005451,.0291574,-.13251644,-.01878429,30,0
-.08050355,.03051943,165,-2.6377804,.00914324,-.13098698,-.03002011,30,1
