run,temp,L1temp,L2temp,L3temp,L4temp,L5temp,temp2,L1temp2,L2temp2,L3temp2,L4temp2,L5temp2,tlin,tsq
0,.0091972,-.0045928,-.0069835,-.0009935,-.0021408,.0017636,-.000459,.000228,.0001461,-.0000882,.0001435,-.0000658,-.0037497,-.0000955
1,.0137925,-.0027575,-.0030955,.0024277,-.0062662,.0026847,-.0005409,.0001168,.000165,-.0002702,.0002888,-.0001402,.0067859,-.0003806
2,.009567,-.0057202,-.0047547,-.0023942,-.0003753,.0028283,-.0004262,.0002651,.0000488,-.000059,.0001073,-.0001373,-.0008491,-.0002014
3,.0106345,-.0063476,-.0038824,-.0014279,-.0004034,.0026325,-.0005462,.000246,.0001386,-.0001313,.0000458,-.0001906,.0012055,-.0004377
4,.0034472,-.0071482,-.0074931,.0031998,.0003197,.0031366,-.0002857,.000231,.0000894,-.0001957,.0000223,-.0001407,-.004538,-.0002795
5,.0081705,-.0042524,-.0043256,.0023144,-.0043507,-.0025438,-.0004786,.0001999,.0000527,-.0001733,.0001654,-9.75e-06,-.0049876,-.0002437
6,.0099467,-.0013416,-.0069995,-.0049452,-.0000589,.0044692,-.0005798,.0000733,.000184,.000027,.0000171,-.0001296,.0010708,-.000408
7,.003001,-.0046607,-.0066908,-.0029008,-.003086,.0047022,-.0003559,.0003845,.0001164,-.0000566,.0002322,-.0001946,-.009635,.0001262
8,.01265,.0016203,-.0061355,-.0004559,-.0002124,-.0053754,-.0005416,.0000567,.0001849,-.0000707,.0000402,.0000926,.0020912,-.0002379
9,.0104137,-.0039036,-.0026067,.0007167,-.0019658,.0016538,-.0004486,.0002438,-.0000122,-.0001058,.0002574,-.0000859,.004308,-.0001513
10,.0062069,-.0108442,-.0069197,-.0058767,-.0027693,.0073261,-.0004271,.0003339,.0001082,.0001217,.0001074,-.0002411,-.0128769,3.17e-06
11,.0115231,.000094,-.001398,.0005893,.0029237,.0007034,-.0005201,.0001141,7.50e-06,-.0000473,.0000173,-.0000212,.0144356,-.0004497
12,.006544,-.0061209,-.0084571,.0003231,-.0061287,.0053543,-.0004809,.0002253,.0001397,-.0001536,.0003276,-.0002157,-.0084854,-.0001576
13,.0087752,-.0056357,-.0055783,-.0019178,-.0020422,.0024826,-.0004029,.0002596,.000124,-.0000291,.0001487,-.0001038,-.0039162,-3.52e-06
14,.0015732,-.0084782,-.0085595,.0015376,-.0006895,.0035715,-.0001249,.0003095,.0001962,-.0002408,.0001375,-.0001231,-.0110447,.0001544
15,.0097046,-.0075596,-.0058915,-.0019715,-.0021145,.0078355,-.0004915,.0003604,.00016,-.0000447,.0001765,-.0002204,3.03e-06,-.0000597
16,.0083457,-.0078514,-.0038314,-.0005375,-.0008592,.0009472,-.0004639,.0003105,.0000926,-.0000684,.000085,-.0000928,-.0037866,-.0001369
17,.0058891,-.0054746,-.0099785,.0009161,-.0088616,-.0013677,-.0004154,.0002202,.000243,-.000169,.0003584,.0000322,-.0188772,.0002693
18,.0052235,-.0050103,-.0052756,-.0009746,-.0004055,.0038884,-.000266,.0002487,.0000958,-.0000459,.0000467,-.0000736,-.0025541,5.75e-06
19,.0102935,-.0048347,-.011443,-.0013593,-.0039323,.0008707,-.0005204,.00028,.0002785,-.000055,.0003262,9.20e-06,-.010405,.0003185
20,.0102452,-.0045806,-.0093122,.0001158,-.00568,.0013724,-.0005948,.0002365,.0002276,-.0001067,.0002216,-.0000453,-.0078394,-.0000611
21,.0083159,-.007716,-.0068072,-.0027645,-.0009255,.0000975,-.0002934,.0003295,.0001119,-.0000125,.0000375,-.0000212,-.0097998,.0001518
22,.0098623,-.0022581,-.0079184,.0020288,-.0034978,.0052699,-.0003802,.0001387,.0001989,-.0001489,.0002812,-.0001986,.0034868,-.0001088
