run,temp,temp2,prec,prec2
0,.0127184,-.0004871,.0000145,-4.75e-09
1,.0066632,-.0003275,.0000267,-8.05e-09
2,.0117308,-.0004625,-2.32e-06,-1.85e-09
3,.0098601,-.0004048,.0000232,-6.67e-09
4,.010247,-.0003733,.000024,-5.77e-09
5,.0132891,-.0004581,.0000153,-6.31e-09
6,.0158219,-.0005125,.0000135,-3.64e-09
7,.0149894,-.0005254,.0000154,-4.30e-09
8,.0116689,-.0004675,7.67e-06,-3.19e-09
9,.0141157,-.0005414,.0000264,-7.61e-09
10,.0111586,-.000618,-6.38e-06,5.12e-10
11,.0104682,-.0004297,.0000159,-5.51e-09
12,.0179416,-.000641,.0000352,-8.40e-09
13,.02114,-.0007043,.0000154,-7.59e-09
14,.0119858,-.0005392,-1.86e-06,-1.81e-10
15,.0109153,-.0004922,-6.78e-06,7.76e-11
16,.0092522,-.0004235,.0000109,-2.64e-09
17,.0168322,-.000543,.0000323,-1.05e-08
18,.0238943,-.0008911,-1.63e-07,-9.17e-10
19,.015542,-.0004814,9.22e-06,-2.83e-09
20,.0123398,-.0004685,.0000264,-7.48e-09
21,.0070305,-.0002435,9.67e-06,-4.41e-09
22,.0187056,-.0006494,9.18e-06,-3.50e-09
23,.0104598,-.000433,5.99e-06,-3.08e-09
24,.0130038,-.0005112,.0000172,-6.54e-09
25,.0164251,-.000546,3.84e-06,-2.61e-09
26,.0179641,-.0006172,.000011,-4.40e-09
27,.0202511,-.0008345,5.37e-06,-1.03e-09
28,.0089378,-.0003727,.0000196,-3.98e-09
29,.0119397,-.0005666,.000016,-5.28e-09
30,.0085635,-.0005109,.0000144,-3.64e-09
31,.0115195,-.0005355,.0000127,-4.49e-09
32,.0112551,-.0005177,.0000106,-4.74e-09
33,.020593,-.0005701,.0000164,-4.42e-09
34,.0123324,-.0003937,.000013,-4.29e-09
35,.0135355,-.000578,.0000159,-5.79e-09
36,.0086371,-.0004819,.0000106,-2.28e-09
37,.0092433,-.0005402,9.30e-06,-2.23e-09
38,.0183558,-.0006041,.000023,-6.97e-09
39,.0100456,-.0004546,.0000206,-6.52e-09
40,.0059914,-.0003301,.0000163,-3.92e-09
41,.0211694,-.0007136,5.82e-06,-1.63e-09
42,.0138421,-.0005437,.0000247,-8.67e-09
43,.0126295,-.0005211,-3.41e-06,-2.21e-09
44,.0063311,-.0003404,.0000279,-6.73e-09
45,.0167111,-.0005559,6.99e-06,-1.93e-09
46,.0186421,-.0005275,8.49e-06,-4.46e-09
47,.0137462,-.0004461,.0000121,-5.19e-09
48,.0147546,-.000509,.0000104,-3.42e-09
49,.0086892,-.0002961,5.55e-06,-1.09e-09
50,.0125741,-.0004121,.0000153,-5.25e-09
51,.0119628,-.0005083,.0000345,-9.91e-09
52,.0119739,-.0004965,.0000392,-1.09e-08
53,.0159167,-.0005988,.0000294,-1.01e-08
54,.0112716,-.0003971,.0000163,-4.19e-09
55,.0154124,-.0004713,.0000236,-1.05e-08
56,.0127555,-.0004421,.0000155,-5.67e-09
57,.0050259,-.0002962,.0000157,-5.10e-09
58,.0183659,-.0006033,.0000158,-3.79e-09
59,.0126278,-.0004241,.0000284,-1.01e-08
60,.0076237,-.0003452,9.47e-06,-2.30e-09
61,.0115729,-.0004539,.0000195,-7.04e-09
62,.0103078,-.000433,.000022,-7.22e-09
63,.0081954,-.0002999,6.33e-06,-2.70e-09
64,.0175332,-.000607,-3.07e-06,-1.35e-09
65,.0133463,-.0004647,.0000179,-5.95e-09
66,.0035499,-.0002571,.0000232,-8.10e-09
67,.0121071,-.0003817,4.27e-06,-1.23e-09
68,.0229568,-.0006569,.0000263,-6.99e-09
69,.0129288,-.0005955,.0000181,-4.04e-09
70,.0209272,-.0007316,.0000106,-3.97e-09
71,.0167588,-.0005406,2.85e-06,-2.16e-09
72,.0108184,-.000433,.0000104,-3.79e-09
73,.0115267,-.0004296,-2.42e-06,-1.15e-09
74,.0110719,-.0004083,.0000132,-6.22e-09
75,.0042246,-.0002347,.0000247,-5.45e-09
76,.0118539,-.0004904,7.82e-06,-4.12e-09
77,.0183367,-.0006869,.0000179,-6.30e-09
78,.0123589,-.000373,.0000145,-4.99e-09
79,.0113798,-.0004485,7.94e-06,-2.76e-09
80,.0030894,-.0000668,.0000169,-5.18e-09
81,.0109452,-.0005198,.0000172,-5.60e-09
82,.015546,-.0005831,-3.45e-06,1.94e-10
83,.0168661,-.0005601,.0000275,-8.44e-09
84,.0164889,-.0006103,7.87e-06,-2.40e-09
85,.0103044,-.0005363,.0000145,-3.58e-09
86,.0167033,-.0005609,.0000182,-4.13e-09
87,.0048872,-.0002453,.0000189,-1.02e-08
88,.0083287,-.0003144,8.91e-06,-3.59e-09
89,.006894,-.0003884,.0000163,-5.11e-09
90,.0133397,-.0004539,.0000229,-7.23e-09
91,.0100936,-.0004727,2.42e-06,-2.06e-09
92,.0076745,-.0003268,.0000221,-6.06e-09
93,.012816,-.0004835,-1.21e-06,-1.90e-10
94,.0126078,-.0006043,.0000166,-5.03e-09
95,-.0003937,-.0000957,.0000287,-6.55e-09
96,.0104751,-.0004125,.0000144,-3.89e-09
97,.0118987,-.0005077,4.19e-06,-2.84e-09
98,.0095274,-.0004316,.0000134,-4.36e-09
99,.0171142,-.000522,9.33e-06,-5.05e-09
100,.0105501,-.000456,.0000218,-8.22e-09
101,.007684,-.0002149,.0000327,-9.81e-09
102,.0127237,-.0004116,.0000263,-7.95e-09
103,.0154847,-.0005705,.0000171,-6.62e-09
104,.0132351,-.0004279,.0000266,-7.87e-09
105,.009816,-.0003603,7.43e-07,-1.06e-09
106,.0075987,-.0002951,.0000206,-5.34e-09
107,.0114366,-.000506,-3.32e-06,-1.28e-09
108,.0152426,-.0004951,.0000196,-6.46e-09
109,.0138585,-.0005089,.0000278,-9.37e-09
110,.0141362,-.0005953,.0000254,-6.20e-09
111,.0143957,-.0005595,.0000267,-8.77e-09
112,.0060742,-.0002842,.0000267,-7.85e-09
113,.0148263,-.0005931,.0000206,-7.16e-09
114,.0167957,-.0007137,8.52e-06,-2.94e-09
115,.0126156,-.0005139,.0000163,-6.54e-09
116,.0096388,-.0004711,-6.42e-06,5.76e-10
117,.0181479,-.0005776,.0000222,-8.12e-09
118,.0171421,-.0007675,.0000359,-1.23e-08
119,.0128317,-.0004539,.0000127,-4.61e-09
120,.0086566,-.0003587,6.34e-06,-3.51e-09
121,.0159887,-.0005136,.0000238,-8.50e-09
122,.017503,-.0005441,.0000139,-5.34e-09
123,.0178062,-.0005416,.0000287,-9.03e-09
124,.0158612,-.0005637,.0000234,-6.54e-09
125,.0160616,-.0006408,.0000161,-4.58e-09
126,.010043,-.0004648,.0000262,-6.83e-09
127,.0181757,-.0005473,4.36e-06,-1.78e-09
128,.0151026,-.0004739,.0000138,-4.02e-09
129,.0199662,-.0006107,.0000266,-5.72e-09
130,.0161426,-.000513,-8.26e-06,1.75e-10
131,.0086649,-.0004004,9.67e-06,-2.79e-09
132,.0053224,-.0003113,8.57e-06,-2.51e-09
133,.0117656,-.0004381,.00002,-7.55e-09
134,.0058814,-.0002277,.0000139,-4.34e-09
135,.0059444,-.000297,.0000187,-5.65e-09
136,.0126753,-.0005034,8.53e-06,-2.56e-09
137,.017413,-.0006303,5.94e-06,-2.35e-09
138,.0097835,-.0004836,.0000142,-5.81e-09
139,.0164902,-.0005195,.0000129,-4.85e-09
140,.0090043,-.0003968,.0000188,-6.77e-09
141,.012388,-.0005558,.0000251,-9.36e-09
142,.0166058,-.000642,.0000327,-7.34e-09
143,.0147341,-.0005585,.0000366,-9.93e-09
144,.0088949,-.0003982,.000017,-4.42e-09
145,.0206018,-.0007014,.0000362,-1.03e-08
146,.0135956,-.0004496,.0000135,-5.70e-09
147,.012843,-.0004405,.0000101,-3.31e-09
148,.0215515,-.0007781,.0000274,-8.02e-09
149,.0117168,-.00052,-1.04e-06,-1.51e-09
150,.0145065,-.0005077,6.55e-06,-3.05e-09
151,.0139801,-.000394,-6.96e-06,-5.68e-10
152,.012405,-.0004608,.0000223,-6.82e-09
153,.0119818,-.0004461,.0000254,-7.06e-09
154,.0174022,-.000625,4.10e-06,-2.10e-09
155,.018222,-.0005289,.0000102,-4.85e-09
156,.0198481,-.000526,.0000292,-8.42e-09
157,.0201705,-.0007091,.0000139,-4.08e-09
158,.0200363,-.0007225,2.98e-06,-2.97e-09
159,.013147,-.0004767,7.70e-06,-2.36e-09
160,.0145349,-.0005773,.0000172,-6.47e-09
161,.0126409,-.0005689,.000017,-6.41e-09
162,.0173695,-.0005928,.0000192,-5.93e-09
163,.0119339,-.0004427,.0000154,-4.57e-09
164,.0176469,-.0005961,.0000247,-5.64e-09
165,.0236431,-.0007149,6.52e-06,-4.78e-09
166,.0159146,-.0006045,.000027,-8.53e-09
167,.0080189,-.0003661,.0000266,-6.12e-09
168,.0229386,-.0006909,.000016,-5.40e-09
169,.0199776,-.000647,1.51e-06,-1.74e-09
170,.0142033,-.0005181,.0000166,-4.16e-09
171,.0100157,-.0004395,.000019,-6.14e-09
172,.0143996,-.0004395,.0000133,-3.56e-09
173,.0157817,-.0005471,.0000188,-5.49e-09
174,.0105937,-.0004793,.0000144,-2.82e-09
175,.0067171,-.0003429,.0000247,-7.11e-09
176,.013071,-.000615,.0000183,-7.26e-09
177,.0123051,-.0005029,4.57e-06,-2.22e-09
178,.0112955,-.000491,.0000422,-1.13e-08
179,.0197811,-.0007626,2.00e-07,-2.81e-09
180,.0090765,-.0003735,.000016,-5.39e-09
181,.0094219,-.0002982,.0000137,-5.09e-09
182,.0141913,-.0004203,.0000179,-7.11e-09
183,.0108051,-.0004689,.0000252,-7.72e-09
184,.0163745,-.0005896,.0000237,-6.33e-09
185,.0164022,-.000712,.0000145,-3.64e-09
186,.0143798,-.0006124,3.37e-06,-1.76e-09
187,.0139864,-.0005769,.0000229,-7.46e-09
188,.0156031,-.0005397,6.84e-07,-2.79e-09
189,.0143317,-.0005779,-.0000107,4.79e-10
190,.0140584,-.0004803,5.98e-06,-2.20e-09
191,.0127636,-.0004411,4.16e-06,-2.24e-09
192,.0118865,-.0004572,1.00e-05,-2.99e-09
193,.01235,-.0003995,.0000235,-4.66e-09
194,.0154618,-.0006141,8.48e-06,-2.68e-09
195,.0241438,-.0008085,.0000292,-9.19e-09
196,.0083736,-.0002201,.0000259,-8.05e-09
197,.0180137,-.0007116,.0000205,-5.64e-09
198,.012847,-.0005087,.00002,-5.78e-09
199,.0129427,-.0006096,9.66e-06,-1.64e-09
200,.0149154,-.0004701,.0000206,-5.53e-09
201,.0063446,-.0003322,.0000241,-6.93e-09
202,.0107082,-.0004454,.0000172,-5.75e-09
203,.0149907,-.0005772,6.19e-06,-3.75e-09
204,.011369,-.0003677,.0000291,-9.85e-09
205,.0124696,-.0004867,.0000184,-6.37e-09
206,.012166,-.0005939,.0000309,-7.68e-09
207,.0137117,-.000535,.0000108,-3.19e-09
208,.0174122,-.0006108,.0000149,-6.11e-09
209,.0162971,-.0004392,.0000124,-4.90e-09
210,.0106193,-.0005153,-6.03e-06,-1.13e-09
211,.0103952,-.000406,.000023,-6.87e-09
212,.0162455,-.0005899,.0000139,-5.30e-09
213,.015705,-.0005991,7.08e-06,-2.73e-09
214,.010425,-.0005298,.0000284,-6.85e-09
215,.0134742,-.0005522,.0000221,-6.40e-09
216,.0083114,-.000439,.0000213,-7.56e-09
217,.009133,-.0004326,.0000361,-1.06e-08
218,.0130582,-.0005187,-8.07e-06,-4.77e-10
219,.0123046,-.0004596,.0000137,-4.40e-09
220,.017339,-.0005683,.000032,-1.06e-08
221,.009126,-.0004436,-3.34e-07,-2.84e-09
222,.0214797,-.0006357,-5.75e-06,-3.91e-10
223,.0123191,-.0005031,.0000252,-6.51e-09
224,.0112246,-.0004684,-5.87e-06,1.15e-10
225,.0119802,-.0004119,.0000207,-5.07e-09
226,.0085115,-.0003789,.0000102,-3.70e-09
227,.0045642,-.0002174,.0000403,-9.02e-09
228,.0042357,-.0002548,3.36e-06,-1.89e-09
229,.0102257,-.0005746,-1.14e-06,-1.47e-09
230,.0134782,-.0004618,.0000124,-3.93e-09
231,.015648,-.000477,-8.74e-07,-1.09e-09
232,.0189968,-.0006837,.0000234,-6.50e-09
233,.0129078,-.0004759,.0000293,-1.01e-08
234,.0168676,-.0006061,5.67e-06,-1.41e-09
235,.0202,-.0005984,-6.29e-06,-1.09e-09
236,.0149638,-.0005643,.0000186,-7.48e-09
237,.0167354,-.000542,9.68e-06,-4.45e-09
238,.008677,-.000401,.0000205,-6.43e-09
239,.0157562,-.0005701,.0000192,-5.70e-09
240,.0154725,-.0005905,.0000142,-5.05e-09
241,.0143875,-.0004817,-3.51e-06,-1.46e-09
242,.0112562,-.0004774,.0000136,-3.26e-09
243,.0109637,-.0004944,.0000109,-3.10e-09
244,.0110422,-.0003744,.0000228,-6.42e-09
245,.0126275,-.0005294,.0000317,-7.88e-09
246,.0149537,-.0005267,.0000272,-6.35e-09
247,.0113338,-.000345,.0000261,-7.66e-09
248,.0138294,-.0004956,.0000124,-4.52e-09
249,.0131128,-.0005223,.0000371,-9.43e-09
250,.0129862,-.0005221,7.54e-06,-3.26e-09
251,.0140271,-.0004495,5.54e-06,-2.38e-09
252,.010938,-.000537,.0000305,-8.89e-09
253,.0137674,-.0005012,.0000148,-7.12e-09
