run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
0,.0073022,.0395784,-.0002777,-.0010703,3.69e-06,.0000405,-1.72e-09,-1.14e-08
1,.0124222,.055099,-.0004482,-.0012996,3.41e-07,9.04e-06,1.82e-11,-8.19e-09
2,.0054765,.018641,-.0001394,-.000666,-4.17e-07,.0000482,-1.34e-09,-1.35e-08
3,.0101346,.0381672,-.0003366,-.0012057,1.25e-06,.0000328,-2.24e-09,-8.31e-09
4,.0060213,.0186006,-.0002871,-.0005448,2.43e-06,.0000556,-8.90e-10,-1.31e-08
5,.0099406,.0410264,-.0003981,-.0011774,-6.44e-06,.000041,1.71e-09,-1.21e-08
6,.0076166,.0396705,-.0004827,-.0011778,-.0000122,.0000294,9.02e-10,-8.91e-09
7,.0055286,.0126084,-.0000832,-.0006055,-4.72e-06,.0000346,1.22e-10,-1.06e-08
8,.0146161,.0371004,-.0005372,-.0009866,-1.13e-06,.0000537,-2.27e-09,-1.43e-08
9,.0022874,.0477419,-.0000922,-.0012523,-2.27e-06,.0000292,-3.03e-10,-9.66e-09
10,.0069476,.0033081,-.0002563,-.0004401,-.0000318,.0000312,5.66e-09,-7.21e-09
11,.0098001,-.0032436,-.0003067,-.000246,-9.87e-06,.0000467,2.41e-09,-1.18e-08
12,.0044892,.0067675,-.000172,-.0004987,-.0000265,.0000397,4.29e-09,-1.05e-08
13,.0061229,.0148091,-.0001558,-.0005599,.0000191,.000044,-3.43e-09,-1.24e-08
14,-.0015511,.0327024,-.0000776,-.000618,.0000223,.0000501,-4.39e-09,-1.32e-08
15,.0081872,.0544311,-.0003915,-.0013782,2.56e-06,.0000213,-2.04e-09,-7.42e-09
16,.0069083,-.0536934,-.0002624,.0007352,.0000145,-1.36e-06,-6.28e-09,1.43e-09
17,.0098255,.0444827,-.0004924,-.0009627,-.0000146,.0000446,4.89e-09,-1.25e-08
18,.0044256,.0193568,-.0001558,-.0004946,6.76e-06,.0000264,-5.69e-09,-7.62e-09
19,.0066797,.0451084,-.000254,-.0011706,4.31e-07,.0000232,-1.85e-09,-7.07e-09
20,.0093297,.0378822,-.000361,-.0012178,-.0000141,.0000324,1.26e-09,-6.96e-09
21,.0052737,.0331593,-.0001627,-.0007349,6.40e-06,.0000432,-2.89e-09,-1.19e-08
22,.0059057,.0408678,-.0001462,-.0010125,.0000225,.0000645,-5.78e-09,-1.52e-08
23,.0064549,.0460968,-.0002591,-.001288,8.97e-06,.0000417,-7.40e-10,-1.10e-08
24,.0077531,.0150809,-.0001988,-.0006655,-.0000167,.0000215,1.77e-09,-8.90e-09
25,.0111495,.0272919,-.0004337,-.0009986,-5.70e-06,.0000496,-6.62e-10,-1.21e-08
26,.000531,.0436454,-.0000956,-.0009513,.0000148,.0000421,-5.48e-09,-1.07e-08
27,.0097366,.0324833,-.0003211,-.0010097,-4.44e-06,.0000307,-3.19e-10,-9.07e-09
28,.0116456,.0425262,-.000299,-.0011364,.0000232,.0000636,-7.14e-09,-1.45e-08
29,.0054224,.0286702,-.0001301,-.000827,-3.72e-06,.0000448,-2.12e-10,-1.31e-08
30,.0126399,.0895416,-.000397,-.0020837,.0000276,.0000254,-8.27e-09,-7.11e-09
31,.0116066,.0258452,-.0004776,-.0006533,.0000172,.0000365,-6.19e-09,-1.01e-08
32,.0110254,.0860287,-.0004204,-.0020647,7.34e-06,.0000385,-4.78e-09,-1.14e-08
33,.0060437,.0803287,-.0003032,-.0017675,.000034,.0000512,-9.59e-09,-1.53e-08
34,.0041517,.0277645,-.000116,-.001041,7.48e-06,.0000364,-3.50e-09,-1.03e-08
35,.0068779,.0384163,-.0002546,-.0010391,9.47e-06,.0000236,-7.28e-09,-7.57e-09
36,.0073068,.0351936,-.0002861,-.0010468,1.60e-06,.0000347,-4.31e-09,-1.04e-08
37,.0053804,.0067084,-.0002031,-.0004343,7.45e-06,.0000409,-5.30e-09,-1.29e-08
38,.0042675,.0312891,-.0002253,-.0008697,.0000227,.0000727,-6.33e-09,-1.98e-08
39,.0074237,.0594045,-.0003159,-.0013872,-.0000251,.0000758,7.56e-09,-2.04e-08
40,.0084845,.0542466,-.0004628,-.0013438,.0000317,.0000358,-7.98e-09,-9.37e-09
41,.0030797,.0299489,-.0001392,-.0008735,6.81e-06,.0000463,-5.39e-09,-1.85e-08
42,.0066445,.0297161,-.0001388,-.0006999,-.0000129,.0000557,4.24e-09,-1.44e-08
43,.0196363,.0423413,-.0007955,-.0011262,-.0000156,.0000235,5.55e-10,-7.95e-09
44,.0100995,.0477378,-.0003923,-.0012682,1.84e-06,.0000278,-2.08e-10,-7.51e-09
45,.0088614,.0202226,-.0003309,-.0005871,2.37e-06,.0000673,-1.91e-09,-1.76e-08
46,.0109164,.051886,-.0004676,-.0012279,-.0000113,.0000365,2.51e-09,-1.40e-08
47,.0042839,.0239085,-.0001777,-.0007393,-.0000119,.0000507,3.09e-09,-1.39e-08
48,.0015067,.0387788,-.0000436,-.0010804,-6.76e-06,.0000531,1.32e-09,-1.57e-08
49,.0057149,.0426668,-.0002411,-.00114,-2.60e-06,.0000313,3.13e-10,-8.82e-09
50,.0088636,.0488905,-.0004895,-.0012859,.0000163,.0000688,-8.16e-09,-2.03e-08
51,.007986,.0382639,-.0003519,-.0011286,6.15e-07,.000084,-2.60e-09,-1.84e-08
52,.0077014,.0344298,-.0004435,-.0011478,.0000117,.0000347,-2.80e-09,-7.41e-09
53,.0041523,.0743583,-.0001688,-.0018108,.0000217,.0000249,-5.82e-09,-7.38e-09
54,.0126931,.0156906,-.0006108,-.0005779,-8.92e-06,.0000375,1.83e-09,-1.14e-08
55,.0058099,.0496146,-.000231,-.0013664,.0000138,.0000725,-1.85e-09,-1.64e-08
56,.0094383,.0276925,-.0003478,-.0008958,7.07e-06,.0000432,-3.66e-09,-1.65e-08
57,.0106271,.0551264,-.000493,-.0013688,-6.81e-06,.000059,-4.57e-11,-1.74e-08
58,.0069639,.0186963,-.000225,-.0006893,4.70e-06,.0000214,-1.62e-09,-5.70e-09
59,.0062692,.0854487,-.0002734,-.0019099,.0000148,.0000463,-5.03e-09,-1.35e-08
60,.020083,.0346305,-.0004955,-.0008593,2.56e-06,.0000262,5.06e-10,-7.97e-09
61,.0109077,.0283188,-.0003168,-.0007437,5.82e-06,.000053,-3.37e-09,-1.44e-08
62,.002079,.0316042,-.0000294,-.0009137,-1.21e-06,.0000161,-1.94e-09,-6.84e-09
63,.0050575,.041231,-.0002781,-.0010714,-.0000151,.0000417,3.91e-09,-1.09e-08
64,.00239,.0607386,-.000072,-.0013648,.0000227,.0000523,-5.32e-09,-1.44e-08
65,.0117772,.0214179,-.0005353,-.0005675,.0000178,.0000293,-5.71e-09,-8.02e-09
66,.0077651,.0360365,-.0002682,-.0012047,-5.59e-06,.0000323,2.80e-09,-1.11e-08
67,.0044748,.0076618,-.0001906,-.0003983,7.60e-06,.0000614,-3.79e-09,-1.54e-08
68,.0092779,.0486744,-.0003784,-.0012802,9.22e-06,.0000318,-2.99e-09,-7.93e-09
69,.0095763,.0553201,-.0003146,-.0014462,-8.37e-06,.0000517,2.18e-09,-1.26e-08
70,.0009,.0527869,-.0000746,-.0013043,-7.94e-06,.0000302,9.77e-10,-9.35e-09
71,.0046112,.0460553,-.0002621,-.0012515,-4.75e-06,.0000483,-7.48e-10,-1.07e-08
72,.0086496,.0528251,-.0003047,-.0014123,.0000122,.0000427,-7.23e-09,-9.90e-09
73,.0077691,.0315049,-.0002976,-.0008286,9.50e-06,.0000512,-3.02e-09,-1.65e-08
74,.0028157,.0399431,-.0001293,-.0009457,3.81e-07,.0000527,-8.04e-10,-1.26e-08
75,.0116629,.0469939,-.0003849,-.0012459,.000024,.0000396,-8.12e-09,-1.02e-08
