run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
0,.0074955,.0120172,-.0087908,-.0016124,-.007516,-.0105112,-.0024186,-.0003017,-.0003752,.0041633,.0059559,.0108769,-.0003726,-.0005044,.0003404,.0001772,.0001827,.0001676,-.0000293,-.0001409,5.52e-06,.0001143,-.0002157,-.0002515,-.0056493,.014632,-.000089,-.0004378
1,.0143325,.0146474,-.0024611,-.005249,-.0012971,-.0131341,.003689,-.0032772,-.0022178,-.0049781,.0018702,.0123229,-.0005336,-.0005296,.0000661,.0001528,.0000559,.0003819,-.0002954,-.0001551,.0000895,.0003529,-.0001515,-.0002342,.0139158,.0003319,-.0007691,-.0000314
2,.0070838,.0052749,-.0087466,-.0130061,-.0021553,-.0175712,-.0026477,-.0081906,-.0009517,.0088565,.0065952,.0150744,-.0002878,-.0004345,.0003541,.0004208,-3.49e-06,.0002152,-.000031,.0000361,.0000686,.0000412,-.0002938,-.0003439,-.0008222,-.0095621,-.0001934,-.0000651
3,.0107244,.0022848,-.0109809,-.0192585,-.004997,.0010764,.0011495,-.0107251,.0010899,.0080432,.0078483,.0113791,-.0004265,-.0004377,.0004168,.0004038,.0001727,3.21e-06,-.0002514,.0000845,-1.41e-06,-.0001016,-.0003763,-.0003083,.0048343,-.0072001,-.0004661,-.0003561
4,.0039212,-.000945,-.0066085,-.0089116,-.0080543,-.0045983,-.0000543,-.0097257,.0033002,.0263731,.0041895,-.0142358,-.0003142,-.0001463,.0001908,.0002873,.0001228,6.49e-06,.0000173,-.0000175,-.0002521,-.0003531,-.0001701,.0002154,-.0033063,-.0120433,-.0004057,-7.78e-06
5,.0044133,.0307526,-.0051859,-.0215688,-.0047247,.0297122,.0048368,-.0361315,-.0070332,.0309035,.0035839,-.0067963,-.0003503,-.0009623,.0002024,.0006099,.0000145,-.0006615,-.0002568,.000658,.0001999,-.0005375,-.0002827,.0001214,-.0041098,.0268716,-.0004731,-.000772
6,.0087075,.0167955,-.0068227,-.0032353,-.0072005,-.0125828,-.0071387,-.0153695,.0012329,.0022268,.0111696,.0138124,-.0005449,-.000686,.0002574,.0001265,.0002194,.0002128,.0001582,.0001345,-.0000353,1.51e-06,-.0002858,-.0004026,-.0000519,.0016469,-.0002311,-.0006134
7,-.0001943,.0061535,-.004807,-.0076123,-.003599,-.0168995,-.0030274,.00091,-.003188,.0063537,.0025827,.0163971,-.0001739,-.0004847,.0003877,.0003859,.0000218,.000276,-.0000385,-.0001403,.0001438,.0002195,-.0001452,-.0004296,-.0122329,.0053024,.0001957,-.0001732
8,.0137384,.0146144,-.0006369,.0022023,-.0039398,-.0224558,-.0023255,-.0021059,.0040708,-.0020607,-.0019448,.0142829,-.0005941,-.0005384,.0000901,.0001,.0001393,.000464,.0000161,-.0001199,-.0002156,.0002684,-5.38e-06,-.0003453,.0089621,.0044773,-.0005696,-.0001712
9,.0046706,.0169506,-.0111654,.0046235,-.0033348,-.011501,-.0024622,.0024003,.0007498,-.006555,.0051879,.0203298,-.0002475,-.0006323,.0004532,.0000554,.0000973,-.0000315,.0000235,-.0002548,.0001026,.0004979,-.0002088,-.0005155,-.0063541,.0262481,.0002204,-.000881
